age,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
49,False,Travel_Frequently,Research & Development,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,5130.0,24907,1,False,23,4,4,10,3,3,10,7,1,7.0
33,False,Travel_Frequently,Research & Development,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909.0,23159,1,True,11,3,3,8,3,3,8,7,3,0.0
27,False,Travel_Rarely,Research & Development,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,3468.0,16632,9,False,12,3,4,6,3,3,2,2,2,2.0
32,False,Travel_Frequently,Research & Development,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068.0,11864,0,False,13,3,3,8,2,2,7,7,3,6.0
59,False,Travel_Rarely,Research & Development,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670.0,9964,4,False,20,4,1,12,3,2,1,0,0,3.0
30,False,Travel_Rarely,Research & Development,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,False,22,4,2,1,2,3,1,0,0,0.0
38,False,Travel_Frequently,Research & Development,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,9526.0,8787,0,False,21,4,2,10,2,3,9,7,1,8.0
36,False,Travel_Rarely,Research & Development,27,3,Unknown,13,3,Male,3,2,Healthcare Representative,3,Married,5237.0,16577,6,False,13,3,2,17,3,2,7,7,7,3.0
35,False,Travel_Rarely,Research & Development,16,3,Medical,14,1,Male,4,1,Laboratory Technician,3,Married,2426.0,16479,0,False,13,3,3,6,5,3,5,4,0,3.0
29,False,Travel_Rarely,Research & Development,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Unknown,4193.0,12682,0,True,12,3,4,10,3,3,9,5,0,3.0
31,False,Travel_Rarely,Research & Development,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Divorced,2911.0,15170,1,False,17,3,4,5,1,2,5,2,4,3.0
34,False,Travel_Rarely,Research & Development,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,False,11,3,3,3,2,3,2,2,1,2.0
29,False,Travel_Rarely,Research & Development,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,False,11,3,3,10,3,3,10,9,8,8.0
32,False,Travel_Rarely,Research & Development,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Divorced,3298.0,15053,0,True,12,3,4,7,5,2,6,2,0,5.0
22,False,Non_Travel,Research & Development,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,True,13,3,2,1,2,2,1,0,0,0.0
53,False,Travel_Rarely,Sales,2,4,Life Sciences,23,1,Female,2,4,Manager,4,Married,15427.0,22021,2,False,16,3,3,31,3,3,25,8,3,7.0
38,False,Travel_Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,3944.0,4306,5,True,11,3,3,6,3,3,3,2,1,2.0
24,False,Non_Travel,Research & Development,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,False,18,3,4,5,5,2,4,2,1,3.0
34,False,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994.0,21293,0,False,11,3,3,13,4,3,12,6,2,11.0
21,False,Travel_Rarely,Research & Development,15,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,Single,1232.0,19281,1,False,14,3,4,0,6,3,0,0,0,0.0
53,False,Travel_Rarely,Research & Development,5,3,Unknown,32,3,Female,3,5,Manager,3,Divorced,19094.0,10735,4,False,11,3,4,26,3,2,14,13,4,8.0
42,False,Travel_Rarely,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,6825.0,21173,0,False,11,3,4,10,2,3,9,7,4,2.0
44,False,Travel_Rarely,Research & Development,7,4,Medical,36,1,Female,2,3,Healthcare Representative,4,Married,10248.0,2094,3,False,14,3,4,24,4,3,22,6,5,17.0
46,False,Travel_Rarely,Sales,2,4,Marketing,38,2,Female,3,5,Manager,1,Single,18947.0,22822,3,False,12,3,4,22,2,2,2,2,2,3.0
33,False,Travel_Rarely,Research & Development,2,3,Medical,39,3,Male,3,1,Laboratory Technician,4,Single,2496.0,6670,4,False,11,3,4,7,3,3,1,1,0,0.0
44,False,Travel_Rarely,Research & Development,10,4,Other,40,4,Male,3,2,Healthcare Representative,4,Married,6465.0,19121,2,True,13,3,4,9,5,4,4,2,1,3.0
