department,job_role,job_level,business_travel,over_time
Sales,Sales Executive,2,Travel_Rarely,True
Research & Development,Research Scientist,2,Travel_Frequently,False
Research & Development,Laboratory Technician,1,Travel_Rarely,True
Research & Development,Research Scientist,1,Travel_Frequently,True
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Frequently,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Manufacturing Director,3,Travel_Frequently,False
Research & Development,Healthcare Representative,2,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,2,Travel_Rarely,True
Research & Development,Research Scientist,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,True
Research & Development,Manufacturing Director,3,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,True
Research & Development,Laboratory Technician,1,Non_Travel,True
Sales,Manager,4,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,True
Research & Development,Manufacturing Director,2,Non_Travel,False
Sales,Sales Representative,1,Travel_Rarely,False
Research & Development,Research Director,3,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,False
Research & Development,Manager,5,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Frequently,True
Sales,Sales Executive,2,Travel_Rarely,False
Research & Development,Healthcare Representative,3,Travel_Rarely,False
Sales,Manager,5,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Healthcare Representative,2,Travel_Rarely,True
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Sales,Sales Representative,2,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,True
Research & Development,Research Scientist,1,Travel_Rarely,False
Sales,Sales Representative,1,Travel_Rarely,True
Sales,Sales Representative,1,Travel_Rarely,False
Research & Development,Research Scientist,1,Travel_Rarely,True
Sales,Sales Executive,2,Travel_Frequently,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Research & Development,Laboratory Technician,1,Travel_Rarely,False
Sales,Sales Executive,3,Travel_Frequently,False
